# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^8 (Positive Control),100000000.0,110,0.060393,0.112306,0.035892,0.16277,0.134658,0.032568,1,False,True
10^8 (Positive Control),100000000.0,115,0.052166,0.121082,0.035733,0.155889,0.125475,0.035543,1,False,True
10^8 (Positive Control),100000000.0,120,0.041116,0.121995,0.033067,0.139381,0.109393,0.03607,1,False,True
0 (Sterile Negative Control),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
0 (Sterile Negative Control),0.0,5,0.071307,0.075832,0.001155,0.004114,0.043613,0.047723,0,False,False
0 (Sterile Negative Control),0.0,10,0.089609,0.100929,0.00537,0.011505,0.04761,0.058074,0,False,False
0 (Sterile Negative Control),0.0,15,0.198573,0.287894,0.075374,0.111354,0.056107,0.07992,0,True,False
0 (Sterile Negative Control),0.0,20,0.222177,0.335806,0.084247,0.116884,0.056496,0.080661,0,True,True
0 (Sterile Negative Control),0.0,25,0.229067,0.355021,0.085598,0.113587,0.054688,0.078032,1,True,False
0 (Sterile Negative Control),0.0,30,0.228851,0.36206,0.084423,0.108848,0.052808,0.074611,1,True,False
0 (Sterile Negative Control),0.0,35,0.225725,0.363134,0.082187,0.103789,0.050882,0.07106,1,True,False
0 (Sterile Negative Control),0.0,40,0.211354,0.338803,0.081104,0.103529,0.058899,0.066607,1,True,False
0 (Sterile Negative Control),0.0,45,0.170313,0.292412,0.078386,0.096619,0.066539,0.040367,1,True,False
0 (Sterile Negative Control),0.0,50,0.142353,0.256187,0.074814,0.088111,0.069674,0.023418,0,False,False
0 (Sterile Negative Control),0.0,55,0.126126,0.231785,0.072202,0.080066,0.068628,0.014418,0,False,False
0 (Sterile Negative Control),0.0,60,0.120463,0.216768,0.070324,0.077774,0.068,0.012098,0,False,False
0 (Sterile Negative Control),0.0,65,0.110335,0.194928,0.065237,0.072418,0.063965,0.010755,0,False,False
0 (Sterile Negative Control),0.0,70,0.094227,0.165075,0.056204,0.063991,0.057002,0.009653,0,False,False
0 (Sterile Negative Control),0.0,75,0.070704,0.124257,0.041583,0.050895,0.046139,0.008881,0,False,False
0 (Sterile Negative Control),0.0,80,0.025088,0.054455,0.005522,0.029224,0.028937,0.008632,0,False,False
0 (Sterile Negative Control),0.0,85,0.017408,0.041693,0.003764,0.024586,0.030323,0.008396,0,False,False
0 (Sterile Negative Control),0.0,90,0.010151,0.03101,0.001464,0.019992,0.029881,0.010922,0,False,False
0 (Sterile Negative Control),0.0,95,0.008252,0.025524,0.00112,0.016446,0.028873,0.013074,0,False,False
